Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.551230720492423,0.5713375796178344,0.5477201900553695,2.2030007721939078,42627.234402894974,11418,16660
RF,0,0.5568415631285798,0.5987261146496815,0.5393438143401799,1.2493668118272123,42627.234402894974,11418,16660
XGBoost,0,0.6627849739005901,0.675796178343949,0.6392658401671518,1.1313444468087486,42627.234402894974,11418,16660
Ridge,1,0.5604838057394762,0.5700636942675159,0.5504239331431178,2.2052033220786758,47020.38693547249,12318,16660
RF,1,0.6370755737197621,0.5980891719745223,0.5417997032281169,1.341115233654119,47020.38693547249,12318,16660
XGBoost,1,0.6491852367980826,0.6732484076433121,0.6383508373588352,1.1410148951900025,47020.38693547249,12318,16660
Ridge,2,0.5730507270864402,0.589171974522293,0.5666652908845428,2.1985173546815906,48459.93046998978,12741,16660
RF,2,0.5550737872973882,0.5968152866242038,0.5373184999527809,1.3983299943870204,48459.93046998978,12741,16660
XGBoost,2,0.679424814034326,0.6764331210191082,0.6381953990572644,1.1376815287422426,48459.93046998978,12741,16660
